REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Mar-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,10.908,,,,3
Mar-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,1.617,,,,3
Mar-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.492,,,,3
Mar-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.286,,,,3
Mar-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.513,,,,3
Mar-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,41.045,,,,3
Mar-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,33.468,,,,3
Mar-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,11.359,,,,3
Mar-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,2.283,,,,3
Mar-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,0.897,,,,3
Mar-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,8.179,,,,3
Mar-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,21.286,,,,3
Apr-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,133.898,,,,3
Apr-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,11.91,,,,3
Apr-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.633,,,,3
Apr-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.853,,,,3
Apr-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.783,,,,3
Apr-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,1.641,,,,3
Apr-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,42.244,,,,3
Apr-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,43.894,,,,3
Apr-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,13.885,,,,3
Apr-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,1.224,,,,3
Apr-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.079,,,,3
Apr-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,11.582,,,,3
Apr-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,21.965,,,,3
May-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,151.871,,,,3
May-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,10.821,,,,3
May-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.454,,,,3
May-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.762,,,,3
May-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.921,,,,3
May-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.684,,,,3
May-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,43.036,,,,3
May-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,44.305,,,,3
May-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,15.759,,,,3
May-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,1.193,,,,3
May-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.074,,,,3
May-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,13.492,,,,3
May-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,37.95,,,,3
Jun-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,158.414,,,,3
Jun-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,8.917,,,,3
Jun-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,3.232,,,,3
Jun-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.879,,,,3
Jun-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,2.786,,,,3
Jun-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.02,,,,3
Jun-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,36.211,,,,3
Jun-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,59.821,,,,3
Jun-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,16.044,,,,3
Jun-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,1.632,,,,3
